[2022-07-11T03:59:01-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-11T03:59:02-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-11T07:34:54-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-11T07:34:54-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-11T16:11:04-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-11T16:11:04-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-11T17:06:12-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-11T17:06:12-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-11T17:17:48-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-11T17:17:48-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
